id;idproject;user_editor;user_revisor;status;status_val;obs;area_km2;geom
174;1;NULL;NULL;NULL;NULL;NULL;0.28;MULTIPOLYGON(((332488.646550982 7436701.9862726405,333188.646550982 7436701.9862726405,333188.646550982 7436301.9862726405,332488.646550982 7436301.9862726405,332488.646550982 7436701.9862726405)))
175;1;NULL;NULL;NULL;NULL;NULL;0.28;MULTIPOLYGON(((332488.646550982 7437101.9862726405,333188.646550982 7437101.9862726405,333188.646550982 7436701.9862726405,332488.646550982 7436701.9862726405,332488.646550982 7437101.9862726405)))
176;1;NULL;NULL;NULL;NULL;NULL;0.28;MULTIPOLYGON(((332488.646550982 7437501.9862726405,333188.646550982 7437501.9862726405,333188.646550982 7437101.9862726405,332488.646550982 7437101.9862726405,332488.646550982 7437501.9862726405)))
178;1;NULL;NULL;NULL;NULL;NULL;0.28;MULTIPOLYGON(((332488.646550982 7435101.9862726405,333188.646550982 7435101.9862726405,333188.646550982 7434701.9862726405,332488.646550982 7434701.9862726405,332488.646550982 7435101.9862726405)))
179;1;NULL;NULL;NULL;NULL;NULL;0.28;MULTIPOLYGON(((332488.646550982 7435501.9862726405,333188.646550982 7435501.9862726405,333188.646550982 7435101.9862726405,332488.646550982 7435101.9862726405,332488.646550982 7435501.9862726405)))
180;1;NULL;NULL;NULL;NULL;NULL;0.28;MULTIPOLYGON(((332488.646550982 7435901.9862726405,333188.646550982 7435901.9862726405,333188.646550982 7435501.9862726405,332488.646550982 7435501.9862726405,332488.646550982 7435901.9862726405)))
181;1;NULL;NULL;NULL;NULL;NULL;0.28;MULTIPOLYGON(((332488.646550982 7436301.9862726405,333188.646550982 7436301.9862726405,333188.646550982 7435901.9862726405,332488.646550982 7435901.9862726405,332488.646550982 7436301.9862726405)))
182;1;NULL;NULL;NULL;NULL;NULL;0.28;MULTIPOLYGON(((332488.646550982 7433501.9862726405,333188.646550982 7433501.9862726405,333188.646550982 7433101.9862726405,332488.646550982 7433101.9862726405,332488.646550982 7433501.9862726405)))
183;1;NULL;NULL;NULL;NULL;NULL;0.28;MULTIPOLYGON(((332488.646550982 7433901.9862726405,333188.646550982 7433901.9862726405,333188.646550982 7433501.9862726405,332488.646550982 7433501.9862726405,332488.646550982 7433901.9862726405)))
184;1;NULL;NULL;NULL;NULL;NULL;0.28;MULTIPOLYGON(((332488.646550982 7434301.9862726405,333188.646550982 7434301.9862726405,333188.646550982 7433901.9862726405,332488.646550982 7433901.9862726405,332488.646550982 7434301.9862726405)))
185;1;NULL;NULL;NULL;NULL;NULL;0.28;MULTIPOLYGON(((332488.646550982 7434701.9862726405,333188.646550982 7434701.9862726405,333188.646550982 7434301.9862726405,332488.646550982 7434301.9862726405,332488.646550982 7434701.9862726405)))
214;1;NULL;NULL;NULL;NULL;NULL;0.28;MULTIPOLYGON(((333888.646550982 7431901.9862726405,334588.646550982 7431901.9862726405,334588.646550982 7431501.9862726405,333888.646550982 7431501.9862726405,333888.646550982 7431901.9862726405)))
215;1;NULL;NULL;NULL;NULL;NULL;0.28;MULTIPOLYGON(((333888.646550982 7432301.9862726405,334588.646550982 7432301.9862726405,334588.646550982 7431901.9862726405,333888.646550982 7431901.9862726405,333888.646550982 7432301.9862726405)))
216;1;NULL;NULL;NULL;NULL;NULL;0.28;MULTIPOLYGON(((333888.646550982 7432701.9862726405,334588.646550982 7432701.9862726405,334588.646550982 7432301.9862726405,333888.646550982 7432301.9862726405,333888.646550982 7432701.9862726405)))
217;1;NULL;NULL;NULL;NULL;NULL;0.28;MULTIPOLYGON(((333888.646550982 7433101.9862726405,334588.646550982 7433101.9862726405,334588.646550982 7432701.9862726405,333888.646550982 7432701.9862726405,333888.646550982 7433101.9862726405)))
218;1;NULL;NULL;NULL;NULL;NULL;0.28;MULTIPOLYGON(((333888.646550982 7430301.9862726405,334588.646550982 7430301.9862726405,334588.646550982 7429901.9862726405,333888.646550982 7429901.9862726405,333888.646550982 7430301.9862726405)))
219;1;NULL;NULL;NULL;NULL;NULL;0.28;MULTIPOLYGON(((333888.646550982 7430701.9862726405,334588.646550982 7430701.9862726405,334588.646550982 7430301.9862726405,333888.646550982 7430301.9862726405,333888.646550982 7430701.9862726405)))
220;1;NULL;NULL;NULL;NULL;NULL;0.28;MULTIPOLYGON(((333888.646550982 7431101.9862726405,334588.646550982 7431101.9862726405,334588.646550982 7430701.9862726405,333888.646550982 7430701.9862726405,333888.646550982 7431101.9862726405)))
221;1;NULL;NULL;NULL;NULL;NULL;0.28;MULTIPOLYGON(((333888.646550982 7431501.9862726405,334588.646550982 7431501.9862726405,334588.646550982 7431101.9862726405,333888.646550982 7431101.9862726405,333888.646550982 7431501.9862726405)))
222;1;NULL;NULL;NULL;NULL;NULL;0.05200969708865622;MULTIPOLYGON(((334061.42177487025 7428659.818235011,334038.08310597367 7428568.744284488,334003.0306922374 7428472.777165713,333989.005026024 7428390.888503473,333983.70328736986 7428352.510491628,333985.26264062675 7428304.574133897,333985.59445027594 7428301.9862726405,333888.646550982 7428301.9862726405,333888.646550982 7428701.9862726405,334061.69096965535 7428701.9862726405,334061.42177487025 7428659.818235011)))
224;1;NULL;NULL;NULL;NULL;NULL;0.20168835737964685;MULTIPOLYGON(((334451.1259167484 7429091.320861906,334461.77682292066 7429081.472306215,334487.24813607195 7429064.147335696,334498.28372064256 7429047.325956063,334508.10253338167 7429020.302249249,334512.7765483353 7428995.768403088,334512.4221851822 7428986.240176494,334512.0678229799 7428976.711949751,334505.2453640512 7428955.261674428,334495.95843294123 7428934.559162319,334474.5045754602 7428903.643022597,334469.96665972617 7428899.324126722,334468.3531957775 7428897.788460056,334466.70135134726 7428896.216372462,334463.51432359614 7428893.183026219,334444.83379465947 7428875.403933702,334406.0413826152 7428839.199997071,334369.6173089697 7428810.885432539,334324.3968014278 7428791.332439204,334297.1979650664 7428780.064970277,334278.32443017466 7428774.759977596,334228.7087837263 7428763.906688407,334170.91668670677 7428761.267999059,334138.70863983815 7428758.693354634,334098.3615054915 7428751.819303872,334080.9503201956 7428743.872445142,334070.2373697357 7428731.791997042,334061.9063954167 7428717.190959627,334061.7194421187 7428706.4463438345,334061.69096965535 7428701.9862726405,333888.646550982 7428701.9862726405,333888.646550982 7429101.9862726405,334445.1785545495 7429101.9862726405,334451.1259167484 7429091.320861906)))
