id;atribuicao;status;validacao;status_val;obs;area_km2;st_astext
3147;NULL;NULL;NULL;NULL;NULL;0.28;MULTIPOLYGON(((459888.646550982 7447901.9862726405,460588.646550982 7447901.9862726405,460588.646550982 7447501.9862726405,459888.646550982 7447501.9862726405,459888.646550982 7447901.9862726405)))
3148;NULL;NULL;NULL;NULL;NULL;0.28;MULTIPOLYGON(((459888.646550982 7448301.9862726405,460588.646550982 7448301.9862726405,460588.646550982 7447901.9862726405,459888.646550982 7447901.9862726405,459888.646550982 7448301.9862726405)))
3149;NULL;NULL;NULL;NULL;NULL;0.28;MULTIPOLYGON(((459888.646550982 7448701.9862726405,460588.646550982 7448701.9862726405,460588.646550982 7448301.9862726405,459888.646550982 7448301.9862726405,459888.646550982 7448701.9862726405)))
3150;NULL;NULL;NULL;NULL;NULL;0.28;MULTIPOLYGON(((459888.646550982 7449101.9862726405,460588.646550982 7449101.9862726405,460588.646550982 7448701.9862726405,459888.646550982 7448701.9862726405,459888.646550982 7449101.9862726405)))
3151;NULL;NULL;NULL;NULL;NULL;0.28;MULTIPOLYGON(((459888.646550982 7446301.9862726405,460588.646550982 7446301.9862726405,460588.646550982 7445901.9862726405,459888.646550982 7445901.9862726405,459888.646550982 7446301.9862726405)))
3152;NULL;NULL;NULL;NULL;NULL;0.28;MULTIPOLYGON(((459888.646550982 7446701.9862726405,460588.646550982 7446701.9862726405,460588.646550982 7446301.9862726405,459888.646550982 7446301.9862726405,459888.646550982 7446701.9862726405)))
3153;NULL;NULL;NULL;NULL;NULL;0.28;MULTIPOLYGON(((459888.646550982 7447101.9862726405,460588.646550982 7447101.9862726405,460588.646550982 7446701.9862726405,459888.646550982 7446701.9862726405,459888.646550982 7447101.9862726405)))
3154;NULL;NULL;NULL;NULL;NULL;0.28;MULTIPOLYGON(((459888.646550982 7447501.9862726405,460588.646550982 7447501.9862726405,460588.646550982 7447101.9862726405,459888.646550982 7447101.9862726405,459888.646550982 7447501.9862726405)))
3155;analista 1;finalizado;NULL;NULL;NULL;0.001740221125829383;MULTIPOLYGON(((454288.646550982 7432262.972416601,454288.646550982 7432301.9862726405,454377.8569650499 7432301.9862726405,454288.646550982 7432262.972416601)))
3156;analista 1;finalizado;NULL;NULL;NULL;0.06530888323789699;MULTIPOLYGON(((454476.96534449945 7432630.085910773,454443.7038067834 7432419.890905479,454412.06609847734 7432316.946748059,454377.8569650499 7432301.9862726405,454288.646550982 7432301.9862726405,454288.646550982 7432701.9862726405,454470.19002367696 7432701.9862726405,454476.96534449945 7432630.085910773)))
3157;analista 1;finalizado;NULL;NULL;NULL;0.06890376224874574;MULTIPOLYGON(((454449.0840005652 7433004.890109552,454447.05297294905 7432947.518899577,454470.19002367696 7432701.9862726405,454288.646550982 7432701.9862726405,454288.646550982 7433101.9862726405,454499.45214524143 7433101.9862726405,454449.0840005652 7433004.890109552)))
3158;analista 4;andamento;NULL;NULL;NULL;0.28;MULTIPOLYGON(((454288.646550982 7438301.9862726405,454988.646550982 7438301.9862726405,454988.646550982 7437901.9862726405,454288.646550982 7437901.9862726405,454288.646550982 7438301.9862726405)))
3160;analista 4;andamento;NULL;NULL;NULL;0.28;MULTIPOLYGON(((454288.646550982 7439101.9862726405,454988.646550982 7439101.9862726405,454988.646550982 7438701.9862726405,454288.646550982 7438701.9862726405,454288.646550982 7439101.9862726405)))
3161;analista 4;andamento;NULL;NULL;NULL;0.28;MULTIPOLYGON(((454288.646550982 7439501.9862726405,454988.646550982 7439501.9862726405,454988.646550982 7439101.9862726405,454288.646550982 7439101.9862726405,454288.646550982 7439501.9862726405)))
3162;analista 1;finalizado;NULL;NULL;NULL;0.28;MULTIPOLYGON(((454288.646550982 7436701.9862726405,454988.646550982 7436701.9862726405,454988.646550982 7436301.9862726405,454288.646550982 7436301.9862726405,454288.646550982 7436701.9862726405)))
3163;analista 1;finalizado;NULL;NULL;NULL;0.28;MULTIPOLYGON(((454288.646550982 7437101.9862726405,454988.646550982 7437101.9862726405,454988.646550982 7436701.9862726405,454288.646550982 7436701.9862726405,454288.646550982 7437101.9862726405)))
3164;analista 1;finalizado;NULL;NULL;NULL;0.28;MULTIPOLYGON(((454288.646550982 7437501.9862726405,454988.646550982 7437501.9862726405,454988.646550982 7437101.9862726405,454288.646550982 7437101.9862726405,454288.646550982 7437501.9862726405)))
3165;analista 4;andamento;NULL;NULL;NULL;0.28;MULTIPOLYGON(((454288.646550982 7437901.9862726405,454988.646550982 7437901.9862726405,454988.646550982 7437501.9862726405,454288.646550982 7437501.9862726405,454288.646550982 7437901.9862726405)))
3166;analista 1;finalizado;NULL;NULL;NULL;0.28;MULTIPOLYGON(((454288.646550982 7435101.9862726405,454988.646550982 7435101.9862726405,454988.646550982 7434701.9862726405,454288.646550982 7434701.9862726405,454288.646550982 7435101.9862726405)))
3167;analista 1;finalizado;NULL;NULL;NULL;0.28;MULTIPOLYGON(((454288.646550982 7435501.9862726405,454988.646550982 7435501.9862726405,454988.646550982 7435101.9862726405,454288.646550982 7435101.9862726405,454288.646550982 7435501.9862726405)))
3168;analista 1;finalizado;NULL;NULL;NULL;0.28;MULTIPOLYGON(((454288.646550982 7435901.9862726405,454988.646550982 7435901.9862726405,454988.646550982 7435501.9862726405,454288.646550982 7435501.9862726405,454288.646550982 7435901.9862726405)))
3169;analista 1;finalizado;NULL;NULL;NULL;0.28;MULTIPOLYGON(((454288.646550982 7436301.9862726405,454988.646550982 7436301.9862726405,454988.646550982 7435901.9862726405,454288.646550982 7435901.9862726405,454288.646550982 7436301.9862726405)))
3170;analista 1;finalizado;NULL;NULL;NULL;0.16335195559857987;MULTIPOLYGON(((454970.6949031999 7433444.89746676,454795.9847820869 7433431.090579657,454760.49682154023 7433420.378409826,454664.95228718425 7433304.680373681,454604.22639714583 7433213.642118602,454500.2247701497 7433103.475684541,454499.45214524143 7433101.9862726405,454288.646550982 7433101.9862726405,454288.646550982 7433501.9862726405,454988.646550982 7433501.9862726405,454988.646550982 7433442.31525376,454970.6949031999 7433444.89746676)))
3171;analista 1;finalizado;NULL;NULL;NULL;0.28;MULTIPOLYGON(((454288.646550982 7433901.9862726405,454988.646550982 7433901.9862726405,454988.646550982 7433501.9862726405,454288.646550982 7433501.9862726405,454288.646550982 7433901.9862726405)))
3172;analista 1;finalizado;NULL;NULL;NULL;0.28;MULTIPOLYGON(((454288.646550982 7434301.9862726405,454988.646550982 7434301.9862726405,454988.646550982 7433901.9862726405,454288.646550982 7433901.9862726405,454288.646550982 7434301.9862726405)))
3173;analista 1;finalizado;NULL;NULL;NULL;0.28;MULTIPOLYGON(((454288.646550982 7434701.9862726405,454988.646550982 7434701.9862726405,454988.646550982 7434301.9862726405,454288.646550982 7434301.9862726405,454288.646550982 7434701.9862726405)))
3174;analista 4;finalizado;NULL;NULL;NULL;0.28;MULTIPOLYGON(((454288.646550982 7444701.9862726405,454988.646550982 7444701.9862726405,454988.646550982 7444301.9862726405,454288.646550982 7444301.9862726405,454288.646550982 7444701.9862726405)))
3175;analista 4;finalizado;NULL;NULL;NULL;0.28;MULTIPOLYGON(((454288.646550982 7445101.9862726405,454988.646550982 7445101.9862726405,454988.646550982 7444701.9862726405,454288.646550982 7444701.9862726405,454288.646550982 7445101.9862726405)))
3176;analista 4;finalizado;NULL;NULL;NULL;0.28;MULTIPOLYGON(((454288.646550982 7445501.9862726405,454988.646550982 7445501.9862726405,454988.646550982 7445101.9862726405,454288.646550982 7445101.9862726405,454288.646550982 7445501.9862726405)))
