id;atribuicao;status;validacao;status_val;obs;area_km2;st_astext
1956;analista 3;finalizado;NULL;NULL;NULL;0.28;MULTIPOLYGON(((506788.646550982 7509101.9862726405,507488.646550982 7509101.9862726405,507488.646550982 7508701.9862726405,506788.646550982 7508701.9862726405,506788.646550982 7509101.9862726405)))
1957;analista 3;finalizado;NULL;NULL;NULL;0.28;MULTIPOLYGON(((506788.646550982 7509501.9862726405,507488.646550982 7509501.9862726405,507488.646550982 7509101.9862726405,506788.646550982 7509101.9862726405,506788.646550982 7509501.9862726405)))
1958;analista 3;finalizado;NULL;NULL;NULL;0.2799939073932846;MULTIPOLYGON(((507488.646550982 7509898.441499566,507488.646550982 7509501.9862726405,506788.646550982 7509501.9862726405,506788.646550982 7509901.9862726405,507485.209035188 7509901.9862726405,507488.646550982 7509898.441499566)))
1959;analista 3;finalizado;NULL;NULL;NULL;0.28;MULTIPOLYGON(((506788.646550982 7507101.9862726405,507488.646550982 7507101.9862726405,507488.646550982 7506701.9862726405,506788.646550982 7506701.9862726405,506788.646550982 7507101.9862726405)))
1960;analista 3;finalizado;NULL;NULL;NULL;0.28;MULTIPOLYGON(((506788.646550982 7507501.9862726405,507488.646550982 7507501.9862726405,507488.646550982 7507101.9862726405,506788.646550982 7507101.9862726405,506788.646550982 7507501.9862726405)))
1961;analista 3;finalizado;NULL;NULL;NULL;0.28;MULTIPOLYGON(((506788.646550982 7507901.9862726405,507488.646550982 7507901.9862726405,507488.646550982 7507501.9862726405,506788.646550982 7507501.9862726405,506788.646550982 7507901.9862726405)))
1962;analista 3;finalizado;NULL;NULL;NULL;0.28;MULTIPOLYGON(((506788.646550982 7508301.9862726405,507488.646550982 7508301.9862726405,507488.646550982 7507901.9862726405,506788.646550982 7507901.9862726405,506788.646550982 7508301.9862726405)))
1963;analista 3;finalizado;NULL;NULL;NULL;0.1724659092443628;MULTIPOLYGON(((507126.46423235204 7505482.578106417,507132.10737157793 7505469.638608246,507137.7505013322 7505456.69921848,507159.4508393669 7505441.036811497,507191.9053719252 7505417.612149854,507207.83547165705 7505406.1143460795,507231.6982017163 7505388.890925295,507240.70122380916 7505374.22010343,507249.7042286633 7505359.549276006,507240.6036096494 7505155.008464245,507222.55001854274 7505101.9862726405,506788.646550982 7505101.9862726405,506788.646550982 7505501.9862726405,507130.60524329694 7505501.9862726405,507126.46423235204 7505482.578106417)))
1964;analista 3;finalizado;NULL;NULL;NULL;0.20554267867931622;MULTIPOLYGON(((507454.7567550466 7505887.574461654,507440.57394441706 7505874.557017837,507411.6936800815 7505848.049677199,507370.947994161 7505768.735500436,507308.4940456231 7505666.968607318,507305.87221013434 7505662.696305582,507298.0516769379 7505649.952876802,507270.9415906836 7505629.70880015,507251.7527511245 7505625.368498742,507216.3080728193 7505617.351161407,507205.24713214743 7505614.849254718,507194.18619510427 7505612.347340077,507159.10024157894 7505586.574331877,507141.1956831823 7505551.621740986,507130.60524329694 7505501.9862726405,506788.646550982 7505501.9862726405,506788.646550982 7505901.9862726405,507484.04624602577 7505901.9862726405,507454.7567550466 7505887.574461654)))
1965;analista 3;finalizado;NULL;NULL;NULL;0.27999479345073264;MULTIPOLYGON(((507484.04624602577 7505901.9862726405,506788.646550982 7505901.9862726405,506788.646550982 7506301.9862726405,507488.646550982 7506301.9862726405,507488.646550982 7505904.2498396505,507484.04624602577 7505901.9862726405)))
